Lietuva Vilnius
Latvija Ryga
Estija Talinas
Suomija Helsinkis
Norvegija Oslas
Danija Kopenhaga
Vokietija Berlynas
Italija Roma
Ispanija Madridas
Nyderlandai Amsterdamas
Belgija Briuselis
Austrija Viena
Portugalija Lisabona
Slovakija Bratislava
Bulgarija Sofija
Kroatija Zagrebasa
Serbija Belgradas
Albanija Tirana
Juodkalnija Podgorica
Norvegija Oslas
Islandija Reikjavikas
Airija Dublinas
Liuksemburgas Liuksemburgas
Monakas Monakas
Malta Valeta
Kipras Nikosija
Lichtenšteinas Vaducas
Vatikanas Vatikanas
Gruzija Tbilisis
